region,patch,date.played,team.a,team.b,map,first.pick.team,map.pick.team,ban.1,ban.2,pick.1,pick.2,pick.3,pick.4,pick.5,ban.3,ban.4,pick.6,pick.7,pick.8,pick.9,pick.10,winner,loser,game.number
Europe,23.3,2/18/2017,Team Dignitas,BeGenius,Sky Temple,Team Dignitas,BeGenius,E.T.C.,Tassadar,Malfurion,Dehaka,Varian,Tyrael,Falstad,Valla,Tychus,Rehgar,Li-Ming,Nazeebo,Arthas,Sgt. Hammer,Team Dignitas,beGenius,200
Europe,23.3,2/18/2017,Team Dignitas,BeGenius,Infernal Shrines,BeGenius,Team Dignitas,Malfurion,Tassadar,Tychus,E.T.C.,Rehgar,Ragnaros,Kharazim,Varian,Medivh,Arthas,Sylvanas,Muradin,Falstad,Jaina,Team Dignitas,beGenius,201
Europe,23.3,2/18/2017,Team Dignitas,BeGenius,Tomb of the Spider Queen,Team Dignitas,BeGenius,Tassadar,Malfurion,Xul,Gul'dan,Johanna,Jaina,Rehgar,E.T.C.,Lt. Morales,Brightwing,Ragnaros,Nazeebo,Muradin,Greymane,Team Dignitas,beGenius,202
Europe,23.3,2/18/2017,Synergy,Team Expert,Braxis Holdout,Team Expert,Synergy,Rexxar,Medivh,Varian,Sgt. Hammer,Zarya,Jaina,Malfurion,Dehaka,Tassadar,Johanna,Lt. Morales,Ragnaros,Tychus,Artanis,Team Expert,Synergy,203
Europe,23.3,2/18/2017,Synergy,Team Expert,Dragon Shire,Team Expert,Synergy,Dehaka,Medivh,Zarya,Muradin,E.T.C.,Ragnaros,Malfurion,Varian,Tyrande,Nazeebo,Sgt. Hammer,Tychus,Stitches,Brightwing,Team Expert,Synergy,204
Europe,23.3,2/18/2017,Synergy,Team Expert,Sky Temple,Team Expert,Synergy,The Lost Vikings,Medivh,Varian,Ragnaros,Falstad,Sgt. Hammer,Zarya,Malfurion,Chromie,Li-Ming,Kharazim,Dehaka,Brightwing,Muradin,Team Expert,Synergy,205
North America,23.3,2/18/2017,Tempo Storm,Superstars,Towers of Doom,Tempo Storm,Superstars,Medivh,Tassadar,Zeratul,Tychus,Dehaka,Falstad,Li-Ming,Diablo,Zarya,E.T.C.,Malfurion,Johanna,Rehgar,Tracer,Tempo Storm,Superstars,206
North America,23.3,2/18/2017,Tempo Storm,Superstars,Braxis Holdout,Tempo Storm,Superstars,Varian,Tassadar,Zarya,Lt. Morales,Valla,E.T.C.,Malfurion,Gul'dan,Medivh,Johanna,Rexxar,Illidan,Tychus,Brightwing,Tempo Storm,Superstars,207
North America,23.3,2/18/2017,Tempo Storm,Superstars,Dragon Shire,Superstars,Tempo Storm,Dehaka,Tassadar,Zeratul,E.T.C.,Malfurion,Falstad,Rehgar,Zarya,Tychus,Ragnaros,Li-Ming,Johanna,Jaina,Valeera,Tempo Storm,Superstars,208
North America,23.3,2/18/2017,Team Freedom,Team 8,Battlefield of Eternity,Team 8,Team Freedom,Li-Ming,Tassadar,Ragnaros,Malfurion,Varian,Tychus,Zeratul,Kharazim,Zarya,Valla,Artanis,Rehgar,Arthas,Valeera,Team 8,Team Freedom,209
North America,23.3,2/18/2017,Team Freedom,Team 8,Braxis Holdout,Team Freedom,Team 8,Malfurion,Zarya,Valla,Tassadar,Lt. Morales,Auriel,Varian,Artanis,Zul'jin,Johanna,Ragnaros,Sonya,Brightwing,Lunara,Team 8,Team Freedom,210
North America,23.3,2/18/2017,Team Freedom,Team 8,Sky Temple,Team Freedom,Team 8,Varian,Tassadar,Zeratul,Dehaka,Ragnaros,E.T.C.,Malfurion,Falstad,Medivh,Li-Ming,Kharazim,Tychus,Jaina,Anub'arak,Team 8,Team Freedom,211
